mFeB,bo fu,,male speaker's father's older brother,,1238,Chen_2019,伯父
mFyB,shu fu,,male speaker's father's younger brother,,1238,Chen_2019,叔父
mFeZ,,,male speaker's father's older sister,,,,
mFyZ,,,male speaker's father's younger sister,,,,
mMeZ,,,male speaker's mother's older sister,,,,
mMyZ,,,male speaker's mother's younger sister,,,,
mMeB,,,male speaker's mother's older brother,,,,
mMyB,,,male speaker's mother's younger brother,,,,
mBS,zhi zi,,male speaker's brother's son,,1238,Chen_2019,侄子
mBD,zhi nü,,male speaker's brother's daughter,,1238,Chen_2019,侄女
mZS,wai sheng,,male speaker's sister's son,,1238,Chen_2019,外甥
mZD,wai sheng nü,,male speaker's sister's daughter,,1238,Chen_2019,外甥女
meBS,,,male speaker's older brother's son,,,,
myBS,,,male speaker's younger brother's son,,,,
meBD,,,male speaker's older brother's daughter,,,,
myBD,,,male speaker's younger brother's daughter,,,,
meZS,,,male speaker's older sister's son,,,,
myZS,,,male speaker's younger sister's son,,,,
meZD,,,male speaker's older sister's daughter,,,,
myZD,,,male speaker's younger sister's daughter,,,,
mFZD,,,male speaker's father's sister's daughter,,,,
mFBD,,,male speaker's father's brother's daughter,,,,
mMBD,,,male speaker's mother's brother's daughter,,,,
mMZD,,,male speaker's mother's sister's daughter,,,,
mFBS,,,male speaker's father's brother's son,,,,
mFZS,,,male speaker's father's sister's son,,,,
mMBS,,,male speaker's mother's brother's son,,,,
mMZS,,,male speaker's mother's sister's son,,,,
mFeBS,,,male speaker's father's older brother's son,,,,
mFyBS,,,male speaker's father's younger brother's son,,,,
mFeZS,,,male speaker's father's older sister's son,,,,
mFyZS,,,male speaker's father's younger sister's son,,,,
mFeBD,,,male speaker's father's older brother's daughter,,,,
mFyBD,,,male speaker's father's younger brother's daughter,,,,
mFeZD,,,male speaker's father's older sister's daughter,,,,
mFyZD,,,male speaker's father's younger sister's daughter,,,,
mMeBS,,,male speaker's mother's older brother's son,,,,
mMyBS,,,male speaker's mother's younger brother's son,,,,
mMeZS,,,male speaker's mother's older sister's son,,,,
mMyZS,,,male speaker's mother's younger sister's son,,,,
mMeBD,,,male speaker's mother's older brother's daughter,,,,
mMyBD,,,male speaker's mother's younger brother's daughter,,,,
mMeZD,,,male speaker's mother's older sister's daughter,,,,
mMyZD,,,male speaker's mother's younger sister's daughter,,,,
mFBeS,tang ge,,male speaker's father's brother's older son,,1238,Chen_2019,堂哥
mFByS,tang di,,male speaker's father's brother's younger son,,1238,Chen_2019,堂弟
mFZeS,gu biao ge,,male speaker's father's sister's older son,,1238,Chen_2019,姑表哥
mFZyS,gu biao di,,male speaker's father's sister's younger son,,1238,Chen_2019,姑表弟
mFBeD,tang jie,,male speaker's father's brother's older daughter,,1238,Chen_2019,堂姐
mFByD,tang mei,,male speaker's father's brother's younger daughter,,1238,Chen_2019,堂妹
mFZeD,gu biao jie,,male speaker's father's sister's older daughter,,1238,Chen_2019,姑表姐
mFZyD,gu biao mei,,male speaker's father's sister's younger daughter,,1238,Chen_2019,姑表妹
mMBeS,yi biao ge,,male speaker's mother's brother's older son,,1238,Chen_2019,姨表哥
mMByS,yi biao di,,male speaker's mother's brother's younger son,,1238,Chen_2019,姨表弟
mMZeS,yi biao ge,,male speaker's mother's sister's older son,,1238,Chen_2019,姨表哥
mMZyS,yi biao di,,male speaker's mother's sister's younger son,,1238,Chen_2019,姨表弟
mMBeD,yi biao jie,,male speaker's mother's brother's older daughter,,1238,Chen_2019,姨表姐
mMByD,yi biao mei,,male speaker's mother's brother's younger daughter,,1238,Chen_2019,姨表妹
mMZeD,yi biao jie,,male speaker's mother's sister's older daughter,,1238,Chen_2019,姨表姐
mMZyD,yi biao mei,,male speaker's mother's sister's younger daughter,,1238,Chen_2019,姨表妹
mE,,,male speaker's spouse,,,,
mH,,,male speaker's husband,,,,
mW,,,male speaker's wife,,,,
mHF,,,male speaker's husband's father,,,,
mHM,,,male speaker's husband's mother,,,,
mWF,,,male speaker's wife's father,,,,
mWM,,,male speaker's wife's mother,,,,
mBW,"sao zi, di mei",,male speaker's brother's wife,,1238,Chen_2019,"嫂子, 弟妹; elder, younger"
mZH,"jie fu, mei fu",,male speaker's sister's husband,,1238,Chen_2019,"姐夫, 妹夫; elder, younger"
mWB,,,male speaker's wife's brother,,,,
mWZ,,,male speaker's wife's sister,,,,
mHB,,,male speaker's husband's brother,,,,
mHZ,,,male speaker's husband's sister,,,,
mco-W,,,male speaker's co-wife,,,,
mco-H,,,male speaker's co-husband,,,,
mFW(notM),,,male speaker's father's wife (not mother),,,,
mMH(notF),,,male speaker's mother's husband (not father),,,,
mSW,,,male speaker's son's wife,,,,
mSWM,,,male speaker's son's wife's mother,,,,
mSWF,,,male speaker's son's wife's father,,,,
mDH,,,male speaker's daughter's husband,,,,
mDHM,,,male speaker's daughter's husband's mother,,,,
mDHF,,,male speaker's daughter's husband's father,,,,
mFZH,gu fu,,male speaker's father's sister's husband,,1238,Chen_2019,姑父
mFBW,"bo mu, shen mu",,male speaker's father's brother's wife,,1238,Chen_2019,"伯母, 婶母; elder, younger"
mMZH,yi fu,,male speaker's mother's sister's husband,,1238,Chen_2019,姨父
mMBW,jiu mu,,male speaker's mother's brother's wife,,1238,Chen_2019,舅母
fG,,,female speaker's sibling,,,,
fB,xiong di,,female speaker's brother,,,,兄弟
fZ,jie mei,,female speaker's sister,,,,姐妹
feB,ge ge,,female speaker's elder brother,,1238,Chen_2019,哥哥
fyB,di di,,female speaker's younger brother,,1238,Chen_2019,弟弟
feZ,jie jie,,female speaker's elder sister,,1238,Chen_2019,姐姐
fyZ,mei mei,,female speaker's younger sister,,1238,Chen_2019,妹妹
fP,fu mu,,female speaker's parent,,,,"父母, only available in the plural"
fF,fu qin,,female speaker's father,,1238,Chen_2019,父亲
fM,mu qin,,female speaker's mother,,1238,Chen_2019,母亲
fC,hai zi,,female speaker's child,,,,孩子
fS,er zi,,female speaker's son,,1238,Chen_2019,儿子
fD,nü er,,female speaker's daughter,,1238,Chen_2019,女儿
fA,zu xian,,female speaker's ancestor,,,,"祖先, more of a technical/religious term"
fPP,zu fu mu,,female speaker's grandparent,,,,"祖父母, only available in the plural"
fFF,zu fu,,female speaker's father's father,,1238,Chen_2019,祖父
fFM,zu mu,,female speaker's father's mother,,1238,Chen_2019,祖母
fMF,wai zu fu,,female speaker's mother's father,,1238,Chen_2019,外祖父
fMM,wai zu mu,,female speaker's mother's mother,,1238,Chen_2019,外祖母
fCC,,,female speaker's grandchild,,,,
fSS,sun zi,,female speaker's son's son,,1238,Chen_2019,孙子
fSD,sun nü,,female speaker's son's daughter,,1238,Chen_2019,孙女
fDS,wai sun zi,,female speaker's daughter's son,,1238,Chen_2019,外孙子
fDD,wai sun nü,,female speaker's daughter's daughter,,1238,Chen_2019,外孙女
fFB,,,female speaker's father's brother,,,,
fFZ,gu mu,,female speaker's father's sister,,1238,Chen_2019,姑母
fMB,jiu fu,,female speaker's mother's brother,,1238,Chen_2019,舅父
fMZ,yi ma,,female speaker's mother's sister,,1238,Chen_2019,姨妈
fFeB,bo fu,,female speaker's father's older brother,,1238,Chen_2019,伯父
fFyB,shu fu,,female speaker's father's younger brother,,1238,Chen_2019,叔父
fFeZ,,,female speaker's father's older sister,,,,
fFyZ,,,female speaker's father's younger sister,,,,
fMeZ,,,female speaker's mother's older sister,,,,
fMyZ,,,female speaker's mother's younger sister,,,,
fMeB,,,female speaker's mother's older brother,,,,
fMyB,,,female speaker's mother's younger brother,,,,
fBS,zhi zi,,female speaker's brother's son,,1238,Chen_2019,侄子
fBD,zhi nü,,female speaker's brother's daughter,,1238,Chen_2019,侄女
fZS,wai sheng,,female speaker's sister's son,,1238,Chen_2019,外甥
fZD,wai sheng nü,,female speaker's sister's daughter,,1238,Chen_2019,外甥女
feBS,,,female speaker's older brother's son,,,,
fyBS,,,female speaker's younger brother's son,,,,
feBD,,,female speaker's older brother's daughter,,,,
fyBD,,,female speaker's younger brother's daughter,,,,
feZS,,,female speaker's older sister's son,,,,
fyZS,,,female speaker's younger sister's son,,,,
feZD,,,female speaker's older sister's daughter,,,,
fyZD,,,female speaker's younger sister's daughter,,,,
fFZD,,,female speaker's father's sister's daughter,,,,
fFBD,,,female speaker's father's brother's daughter,,,,
fMBD,,,female speaker's mother's brother's daughter,,,,
fMZD,,,female speaker's mother's sister's daughter,,,,
fFBS,,,female speaker's father's brother's son,,,,
fFZS,,,female speaker's father's sister's son,,,,
fMBS,,,female speaker's mother's brother's son,,,,
fMZS,,,female speaker's mother's sister's son,,,,
fFeBS,,,female speaker's father's older brother's son,,,,
fFyBS,,,female speaker's father's younger brother's son,,,,
fFeZS,,,female speaker's father's older sister's son,,,,
fFyZS,,,female speaker's father's younger sister's son,,,,
fFeBD,,,female speaker's father's older brother's daughter,,,,
fFyBD,,,female speaker's father's younger brother's daughter,,,,
fFeZD,,,female speaker's father's older sister's daughter,,,,
fFyZD,,,female speaker's father's younger sister's daughter,,,,
fMeBS,,,female speaker's mother's older brother's son,,,,
fMyBS,,,female speaker's mother's younger brother's son,,,,
fMeZS,,,female speaker's mother's older sister's son,,,,
fMyZS,,,female speaker's mother's younger sister's son,,,,
fMeBD,,,female speaker's mother's older brother's daughter,,,,
fMyBD,,,female speaker's mother's younger brother's daughter,,,,
fMeZD,,,female speaker's mother's older sister's daughter,,,,
fMyZD,,,female speaker's mother's younger sister's daughter,,,,
fFBeS,tang ge,,female speaker's father's brother's older son,,1238,Chen_2019,堂哥
fFByS,tang di,,female speaker's father's brother's younger son,,1238,Chen_2019,堂弟
fFZeS,gu biao ge,,female speaker's father's sister's older son,,1238,Chen_2019,姑表哥
fFZyS,gu biao di,,female speaker's father's sister's younger son,,1238,Chen_2019,姑表弟
fFBeD,tang jie,,female speaker's father's brother's older daughter,,1238,Chen_2019,堂姐
fFByD,tang mei,,female speaker's father's brother's younger daughter,,1238,Chen_2019,堂妹
fFZeD,gu biao jie,,female speaker's father's sister's older daughter,,1238,Chen_2019,姑表姐
fFZyD,gu biao mei,,female speaker's father's sister's younger daughter,,1238,Chen_2019,姑表妹
fMBeS,yi biao ge,,female speaker's mother's brother's older son,,1238,Chen_2019,姨表哥
fMByS,yi biao di,,female speaker's mother's brother's younger son,,1238,Chen_2019,姨表弟
fMZeS,yi biao ge,,female speaker's mother's sister's older son,,1238,Chen_2019,姨表哥
fMZyS,yi biao di,,female speaker's mother's sister's younger son,,1238,Chen_2019,姨表弟
fMBeD,yi biao jie,,female speaker's mother's brother's older daughter,,1238,Chen_2019,姨表姐
fMByD,yi biao mei,,female speaker's mother's brother's younger daughter,,1238,Chen_2019,姨表妹
fMZeD,yi biao jie,,female speaker's mother's sister's older daughter,,1238,Chen_2019,姨表姐
fMZyD,yi biao mei,,female speaker's mother's sister's younger daughter,,1238,Chen_2019,姨表妹
fE,,,female speaker's spouse,,,,
fH,,,female speaker's husband,,,,
fW,,,female speaker's wife,,,,
fHF,,,female speaker's husband's father,,,,
fHM,,,female speaker's husband's mother,,,,
fWF,,,female speaker's wife's father,,,,
fWM,,,female speaker's wife's mother,,,,
fBW,"sao zi, di mei",,female speaker's brother's wife,,1238,Chen_2019,"嫂子, 弟妹; elder, younger"
fZH,"jie fu, mei fu",,female speaker's sister's husband,,1238,Chen_2019,"姐夫, 妹夫; elder, younger"
fWB,,,female speaker's wife's brother,,,,
fWZ,,,female speaker's wife's sister,,,,
fHB,,,female speaker's husband's brother,,,,
fHZ,,,female speaker's husband's sister,,,,
fco-W,,,female speaker's co-wife,,,,
fco-H,,,female speaker's co-husband,,,,
fFW(notM),,,female speaker's father's wife (not mother),,,,
fMH(notF),,,female speaker's wife's husband (not father),,,,
fSW,,,female speaker's son's wife,,,,
fSWM,,,female speaker's son's wife's mother,,,,
fSWF,,,female speaker's son's wife's father,,,,
fDH,,,female speaker's daughter's husband,,,,
fDHM,,,female speaker's daughter's husband's mother,,,,
fDHF,,,female speaker's daughter's husband's father,,,,
fFZH,gu fu,,female speaker's father's sister's husband,,1238,Chen_2019,姑父
fFBW,"bo mu, shen mu",,female speaker's father's brother's wife,,1238,Chen_2019,"伯母, 婶母; elder, younger"
fMZH,yi fu,,female speaker's mother's sister's husband,,1238,Chen_2019,姨父
fMBW,jiu mu,,female speaker's mother's brother's wife,,1238,Chen_2019,舅母
