"CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","KEYWORDS","URL","URLDATE","SOURCEID","ISBN","LANGUAGE","ABSTRACT","ISSN","SHORTTITLE","COLLABORATOR","COPYRIGHT","DOI","CFN","CLASS_LOC","DELIVERED","DOCUMENT_TYPE","FN","HHTYPE","INLG","LGCODE","MACRO_AREA","MPI_EVA_LIBRARY_SHELF","OCLC","SRC","SUBJECT_HEADINGS","LOCATION","GLOTTO","EXTRA_HASH","ASJP_NAME","AIATSIS_CALLNUMBER","AIATSIS_CODE","AIATSIS_REFERENCE_LANGUAGE","LANGUAGEID","MPIFN","OZBIB_ID","OZBIBREFTYPE","PUBLICATION","COUNTRY","SIL_ID","SUBJECT","OTHER_EDITIONS","FNNOTE","VARIETY","BESTTXT","LCCN","FILENAMES","ISO_CODE","OLAC_FIELD","REFDB_ID","WALS_CODE","AUTHOR_STATEMENT","NUMBEROFPAGES","OZBIBNOTE","LANGNOTE","LGFAMILY","ZURICHCODE","ZURICHNOTE","GULDEMANN_LOCATION","THESISTYPE","NOSHAREFN","PLACE","ABSTRACTNOTE","COLLECTION","DISPLAY"
"INCOLLECTION","deicat_aguaruna_2015","Leipzig",NA,"Deicat, Gerardo Wipio; Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Aguaruna",NA,NA,"2015","CHIB3, ETC, agua1253, kinbank","http://ids.clld.org/contributions/258","2018-08-07","CHIB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deicat & Key 2015"
"INCOLLECTION","khalilov_akhvakh_2015","Leipzig",NA,"Khalilov, Madzhid; Lange, Stefan","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Akhvakh ({Northern} {Akhvakh})",NA,NA,"2015","ETC, ND5, akhv1239, kinbank","http://ids.clld.org/contributions/33","2018-08-13","ND5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Khalilov & Lange 2015"
"BOOK","black_consice_2000","Wiesbaden",NA,"Black, J. et al",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harrassowitz Verlag",NA,NA,"A {Consice} {Dictionary} of {Akkadian",NA,NA,"2000","AFR1, Akkadian Dictionary, IC, akka1240, kinbank","http://archive.org/details/AConsiceDictionaryAkkadian","2018-06-29","AFR1",NA,NA,"Black, J \\&amp; el, (2000), A Consice Dictionary Akkadian, Wiesbaden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black 2000"
"INCOLLECTION","newmark_albanian_2015","Leipzig",NA,"Newmark, Leonard; Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Albanian ({Tosk} variety)",NA,NA,"2015","ETC, IE527, kinbank, tosk1239","http://ids.clld.org/contributions/205","2018-08-09","IE527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Newmark & Key 2015"
"BOOK","fritsche_semantische_1977",NA,NA,"Fritsche, Michael",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freie Universität Berlin.",NA,NA,"Semantische {Struktur} und {Sozialstruktur} am {Beispiel} der {Verwandtschaftsterminologien} der {Balkansprachen",NA,NA,"1977","IE12, bulg1262, indo1319, kinbank",NA,NA,"IE12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fritsche 1977"
"ARTICLE","hanmel_sebo-croatian_nodate",NA,NA,"Hanmel, Eugene A",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,"SEBO}-{CROATIAN} {KINSHIP} {TERMINOLOGY} (l)",NA,NA,NA,"ETC, IE20, kinbank, serb1264",NA,NA,"IE20",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hanmel n.d."
"BOOK","kacori_handbook_1979",NA,NA,"Kacori, Thoma",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sofia University"" Kliment Ohridski"", Faculty of Slavonic Studies",NA,NA,"A handbook of {Albanian",NA,NA,"1979","IE138, indo1319, kinbank",NA,NA,"IE138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kacori 1979"
"ARTICLE","mann_short_nodate",NA,NA,"Mann, Stuart E",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"A short {Albanian} grammar with vocabularies, and selected passages for reading",NA,NA,NA,"IE137, indo1319, kinbank",NA,NA,"IE137",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mann n.d."
"BOOK","newmark_structural_1957",NA,NA,"Newmark, Leonard",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indiana Univ.",NA,NA,"Structural grammar of {Albanian",NA,"8","1957","IE139, indo1319, kinbank",NA,NA,"IE139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Newmark 1957"
"BOOK","orel_concise_2000",NA,NA,"Orel, Vladimir Ė",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brill",NA,NA,"A concise historical grammar of the {Albanian} language: reconstruction of {Proto}-{Albanian",NA,NA,"2000","IE29, MF, alba1267, kinbank",NA,NA,"IE29","90-04-11647-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orel 2000"
"ARTICLE","vatasescu_termes_1997",NA,NA,"Vatasescu, Catalina",NA,NA,NA,NA,"NA",NA,NA,"Revue des études Sud-est européennes",NA,NA,NA,"3-4",NA,"189--196",NA,NA,NA,"Termes d'origine latine concernant la parenté, conservés en {Albanais} et en {Roumain",NA,"35","1997","IE28, SP, alba1267, kinbank",NA,NA,"IE28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vatasescu 1997"
"MISC","noauthor_austkin_nodate",NA,NA,"Bowern, Claire",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Austkin",NA,NA,NA,"JC, PN2, alya1239, band1339, darl1243, dhar1248, dhuw1249, dier1241, dyir1250, flin1247, gami1243, kinbank, ngar1235, yaga1256","http://www.austkin.net/index.php","2019-06-18","PN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bowern n.d."
"BOOK","yallop_alyawarra_1977",NA,NA,"Yallop, Colin",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australian Institute of Aboriginal Studies",NA,NA,"Alyawarra, an {Aboriginal} language of central {Australia",NA,NA,"1977","CS, PN21, alya1239, kinbank",NA,NA,"PN21",NA,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yallop 1977"
"ARTICLE","gelaye_semantic_1998",NA,NA,"Gelaye, Getie",NA,NA,NA,NA,"NA",NA,NA,"Africa: Rivista trimestrale di studi e documentazione dell’Istituto italiano per l’Africa e l’Oriente",NA,NA,NA,"1",NA,"71--92",NA,NA,NA,"Semantic {Analysis} of {Amharic} kinship terms in {Gojjam}: {An} anthropological approach",NA,"53","1998","AFR2, amha1245, kinbank","https://www.jstor.org/stable/40761245","2019-01-24","AFR2",NA,NA,NA,"0001-9747","SEMANTIC} {ANALYSIS} {OF} {AMHARIC} {KINSHIP} {TERMS} {IN} {GOJJAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gelaye 1998"
"BOOK","ogawa_comparative_2006",NA,NA,"Ogawa, Naoyoshi; Li, Rengui; Toyoshima, Masayuki",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tokyo : Research Institiute for Languages and Cultures of Asia and Africa, Tokyo University of Foreign Studies",NA,NA,"A comparative vocabulary of {Formosan} languages and dialects",NA,NA,"2006","AUS53, Austronesische talen, ETC, kinbank","http://archive.org/details/comparativevocab19ogaw","2018-07-31","AUS53",NA,"tsu",NA,NA,NA,"The Long Now Foundation, PanLex Project",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ogawa et al. 2006"
"MISC","noauthor_noticia_nodate",NA,NA,"NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notícia sôbre os índios {Anambé} - {Google} {Scholar",NA,NA,NA,"JC, TP1, anam1249, kinbank","https://scholar.google.co.uk/scholar?hl=en\&as\_sdt=0\%2C5\&q=Noti\%CC\%81cia+so\%CC\%82bre+os+i\%CC\%81ndios+Anambe\%CC\%81\&btnG=\#d=gs\_cit\&u=\%2Fscholar\%3Fq\%3Dinfo\%3Af-be8wZUoVQJ\%3Ascholar.google.com\%2F\%26output\%3Dcite\%26scirp\%3D1\%26hl\%3Den","2019-06-18","TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA n.d."
"BOOK","gates_kinship_1971","Baltimore",NA,"Gates, Henry Phelps",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"OCLC: 410087",NA,NA,NA,"Published at the Waverly Press by Indiana University, Bloomington",NA,NA,"The kinship terminology of {Homeric} {Greek}.",NA,NA,"1971","IE94, JC, anci1242, kinbank",NA,NA,"IE94",NA,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gates 1971"
"INCOLLECTION","khalilov_andi_2015","Leipzig",NA,"Khalilov, Madzhid; Lange, Stefan","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Andi",NA,NA,"2015","ETC, ND8, andi1255, kinbank","http://ids.clld.org/contributions/32","2018-08-13","ND8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Khalilov & Lange 2015"
"INCOLLECTION","sammons_sanapana_2015","Leipzig",NA,"Sammons, Ruth; Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Sanapaná ({Angaité} dialect)",NA,NA,"2015","ETC, LM1, anga1295, kinbank","http://ids.clld.org/contributions/298","2018-08-10","LM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sammons & Key 2015"
"BOOK","castro_arawete_1986","Rio de Janeiro, RJ",NA,"Castro, Eduardo Batalha Viveiros de",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"J. Zahar Editor : Associação Nacional de Pós Graduação e Pesquisa em Ciências Sociais",NA,"Coleção {Antropologia} social","Araweté: os deuses canibais",NA,NA,"1986","Araweté Indians, Brazil, Cannibalism, IC, Indians of South America, Religion, TP5, Tupi Indians, araw1273, kinbank",NA,NA,"TP5","978-85-85061-48-7","pt",NA,NA,"Araweté",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Castro 1986"
"INCOLLECTION","khalilov_archi_2015-1","Leipzig",NA,"Khalilov, Madzhid; Lange, Stefan","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Archi (variety 2)",NA,NA,"2015","JC, ND9, arch1244, kinbank","https://ids.clld.org/contributions/534","2019-06-07","ND9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Khalilov & Lange 2015"
